gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073333467514667916e+01,-7.405624399511269473e+01,-4.968868805445628145e-01,-1.136979951863132006e-02,-7.061364457343211054e-02,7.158022769042346467e-02
4.073331341677154427e+01,-7.405628211786073223e+01,-5.967497831549003484e-01,3.053966008921420172e-02,-6.253639843745672361e-03,9.396656625018383335e-02
4.073332433911100026e+01,-7.405627105411177524e+01,-1.920088560044487802e-01,2.267626150186521222e-03,1.313336515008782512e-02,-3.147857807962062965e-02
4.073333011328821840e+01,-7.405627314284328122e+01,-8.137642370988517060e-01,1.442924336162950197e-02,-1.404154869279045439e-02,-3.342273994667292747e-02
4.073333160910567585e+01,-7.405626620074544064e+01,-7.903147580170323261e-01,5.526853358626435814e-02,8.032955414597185706e-02,-4.756089198236813226e-02
4.073331978134147136e+01,-7.405626761141996894e+01,2.390152915495748598e+00,-1.283071399391508272e-02,-2.201956284812619027e-02,-6.376162292234990869e-02
4.073331188579838624e+01,-7.405626710786867761e+01,-4.530199868339345182e-01,2.861586257357307678e-02,1.000391908714523895e-02,6.833358732795909336e-03
4.073330961703897657e+01,-7.405624760699726039e+01,-6.671523231837577228e-01,-6.450058758801642880e-03,3.575469059336597311e-02,-1.733890983922250009e-02
4.073332201954708864e+01,-7.405627168753217404e+01,2.661696987579840190e-01,3.002948420991001857e-02,-2.254901503415788003e-02,-4.724276840604322431e-02
4.073332862484028283e+01,-7.405625735027686574e+01,-2.464611618898026268e+00,7.101829283481563004e-02,-9.099743727829651130e-02,-2.399297333068651020e-02
4.073330956639118483e+01,-7.405628685912529363e+01,-1.247762810215107709e+00,1.763004889318897693e-03,1.576490844126326660e-02,3.241826654460527174e-02
4.073331670850400599e+01,-7.405626857018344822e+01,4.303963443664924338e-01,-1.764712144641814376e-02,9.196924030002065487e-02,2.082485053643342438e-02
