gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.255972549039766906e-01,-7.178205986395286287e-02,-6.413366712082198100e-03
3.867679356043524780e-02,7.177617649277630643e-03,-2.437071182237005029e-02
4.468995605594636156e-02,1.124721010121299547e-01,-8.014192708537176690e-02
2.353263345139005019e-03,2.929864134791396527e-02,4.978197745219765241e-02
2.984138076494242692e-03,-3.609372340534094253e-02,-2.362396923049527378e-02
3.528984335206535733e-02,-4.889100413707449938e-02,-2.160452479451819164e-03
1.415712465884872741e-02,6.396993439142098503e-02,-3.622315662517941459e-02
2.250744311057997077e-02,7.559488347523202201e-02,2.200231945825663858e-03
-1.559964368888962227e-02,-5.255341394896287377e-02,-1.094835549570946087e-01
4.623867990755156990e-03,-5.571731449080297854e-02,6.073737966901486540e-02
-2.179940651200820700e-02,3.811212007249754896e-02,2.921232019510286090e-02
8.532641116464348419e-02,-5.961448322265065769e-02,-3.837403141285206098e-02
9.630032913664608729e-02,-4.887314863975338042e-02,-3.559489423510422967e-02
5.747232971211274632e-02,2.123341956238249811e-02,3.369325022352750998e-02
2.964845425272924148e-02,8.227576703709072251e-03,4.258550910084815677e-02
1.168275669846345066e-01,1.476207669204002843e-02,5.373280473725049015e-03
3.096991618409414282e-02,-6.398960239464106248e-02,4.650693478310658630e-02
3.140750003644224297e-02,-2.815612510108953664e-02,2.163968014513453081e-02
-3.511758768380331824e-02,-9.071585847145893430e-03,-2.712508273217645663e-02
6.800780399187078551e-02,-2.554833729713761048e-02,8.307867458133975230e-03
-6.404107707958008044e-02,-4.732097533867571371e-02,-4.200980066626948395e-02
7.770967827776620838e-03,-1.683356117305535166e-02,1.273667453785681976e-02
-2.765902141298245964e-02,-1.456507259435141713e-02,-2.969770014850132284e-02
2.013225093877775429e-02,3.543767326728406580e-02,3.955836627478585832e-02
-8.627139308918769720e-03,-8.534651079183601385e-02,5.918666934597520413e-02
8.659367987837346056e-03,7.610620818516851405e-02,8.732597628060981623e-03
-6.733492885173979203e-02,-3.448064367492080506e-02,9.321336498475718546e-03
-3.082638237186836536e-02,-3.048547124062055830e-02,3.320854395138627541e-02
-8.304493575594140697e-02,3.084118732179002079e-02,-1.120525601678998284e-02
-1.421488461750892128e-02,1.275693247561460186e-02,-1.083028733638807112e-02
-2.181530181226295009e-02,3.219266867797764692e-02,-7.777354155327893988e-03
6.569192697626245747e-02,3.803709075307677712e-02,1.613592348531997164e-02
6.478870464749740543e-02,-1.337544367552766407e-02,5.477492955820478793e-02
-1.461239529997641028e-02,4.168273842269660384e-04,2.824755702434675504e-03
-6.246196258263487372e-02,-4.426192431053577875e-02,3.147742520151319140e-02
-4.758058496855631370e-02,1.686363824060729474e-02,-3.803783922249830141e-02
-6.585928182892571148e-02,3.524086087197809795e-03,-2.770561554384311578e-02
7.358633470956599948e-03,-5.094763774626588637e-02,3.933382281777000195e-02
-2.646504540137824268e-02,4.364360301182817342e-02,-3.704862541889769774e-03
-1.819755062353369326e-02,3.397669798954650044e-02,3.698538716074784710e-02
2.692207054411059966e-02,-4.718505689304964418e-02,-2.599236250832127199e-02
-3.528297920646691205e-02,4.487558828330905081e-02,3.365768126958505746e-02
-1.442527180803780673e-02,2.286887407018448753e-02,9.228316399766888292e-03
-2.563711650134192430e-02,4.686534738261248501e-02,-8.227645022220524129e-02
