accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.035873562651171489e-02,7.945849791860499860e-05,-9.822219335221566539e+00
-8.365956278324421583e-03,-1.693684239474395597e-03,-9.800758044979689387e+00
4.803131911954062160e-03,-1.622922938032896100e-03,-9.782967141384068199e+00
-7.330820609217751378e-04,-7.761818368102703890e-03,-9.794816258004928500e+00
5.263999334221988735e-03,-6.349395897973101124e-04,-9.788108133986769488e+00
6.645049171853430886e-03,4.971925182706751940e-03,-9.799529193064305588e+00
6.755424430158390135e-03,-1.157495218434636229e-02,-9.798392452773624584e+00
6.915110137413330634e-04,-4.618636971789214819e-03,-9.811060389577791696e+00
-3.045936670267659040e-03,5.040723105266944025e-03,-9.805416487861727148e+00
-2.923857088640222091e-03,7.889929801407579574e-03,-9.807850431852811468e+00
7.429602255102641696e-03,3.639325157899876012e-03,-9.804830053627627606e+00
5.726917535318485492e-03,9.176559269453436057e-03,-9.796701507149483845e+00
3.611076635507997311e-03,2.558145713325189231e-03,-9.809325513557693554e+00
-1.046828254395913357e-02,-1.878079252662616253e-04,-9.809860407621638245e+00
-3.408817859371760135e-03,-4.470558001558531426e-03,-9.789677744364350787e+00
3.718992660071331318e-03,5.855007302349411746e-03,-9.801369935934161504e+00
-8.802678726174499851e-04,-1.550358818604851601e-03,-9.795209289037234868e+00
-1.277386701952106830e-02,-1.283209070439869485e-04,-9.796197877155631062e+00
2.692047213852979525e-03,-3.760607261560397485e-03,-9.811302056998886911e+00
-3.094751368348446548e-03,1.062189011895700412e-02,-9.804820708099782678e+00
-3.934292947718116482e-03,-1.247645534131835814e-02,-9.798315282796798087e+00
-3.365063807647513273e-03,-6.433284390616970244e-03,-9.807261741610158623e+00
-6.097002945408215222e-05,-1.150757431139511544e-03,-9.788688753841592316e+00
2.347075748324774496e-04,-3.644519413636871426e-03,-9.800951415115312315e+00
1.655267754841216422e-03,4.725895189310506212e-04,-9.812569163606887912e+00
5.291348735850292997e-04,-4.252002722665502153e-04,-9.791206937355031670e+00
-4.623650430027118931e-03,8.026351260852760544e-03,-9.791319505047150429e+00
-3.853472336538857042e-04,1.252621336715372888e-02,-9.811588590755780714e+00
-2.933396234515159469e-03,-2.150761822984840164e-03,-9.815157035163988297e+00
4.492078921661107720e-03,7.366096847763638081e-04,-9.809240903123818356e+00
-1.585631388475844915e-03,3.702890142118579406e-03,-9.802302250261531569e+00
-6.828994718423945891e-03,-6.818333927974129169e-03,-9.798158062749827479e+00
5.224002228826771926e-03,4.155670339009274084e-04,-9.800966659401415981e+00
5.665959857881042172e-03,4.054237785528666885e-03,-9.808657245205354869e+00
-6.144649117146820314e-03,-2.881695417864784531e-03,-9.800524682688456224e+00
-8.384529611270338106e-03,-5.659479662419336643e-03,-9.807677260938119090e+00
7.993862092068296579e-03,3.534260314029633032e-03,-9.804094232662430741e+00
3.691619327136482984e-04,1.318287405278755235e-04,-9.818135432090628001e+00
-5.111876042549290053e-03,4.562961967173490528e-03,-9.801862655952955805e+00
-7.213752055200604862e-03,5.991366055868310551e-03,-9.795028633735661572e+00
3.970874216733215681e-03,9.847557325412091209e-03,-9.800041824756155151e+00
5.497561117632629099e-04,-3.081817119760598724e-03,-9.806048448893983860e+00
-2.285716410213395940e-03,2.921691790510741633e-03,-9.795260688955389483e+00
8.164039056242794815e-03,1.843854011655331562e-04,-9.799507718402129086e+00
-8.310534191379505622e-03,-3.093848756430488296e-03,-9.792883960532792642e+00
1.136310800023093964e-03,-5.532128639047647137e-03,-9.806128443311338927e+00
-5.235863823815211683e-03,-5.468100405775469693e-03,-9.795251729326347245e+00
1.065082504029390021e-03,-6.063449237269847268e-03,-9.786854164427468916e+00
3.077905157899653559e-03,-1.490402045895045189e-03,-9.811507390932842299e+00
-1.048346984207662114e-03,-7.075669666355577196e-03,-9.806628138843919373e+00
2.636780120207947355e-03,-5.692615988517113479e-03,-9.793451859226491862e+00
-2.046573519480779455e-03,-9.577579676745929388e-03,-9.800217704591455359e+00
6.266185880913356220e-04,-7.772793712167904573e-03,-9.802266925041376311e+00
-5.727008762582899834e-04,-3.467364758605799395e-03,-9.795214478339538289e+00
-3.086058631071654599e-03,5.196589034754201843e-03,-9.805941779845953832e+00
7.096176458351225076e-03,-4.201055335541225427e-03,-9.807029170567364673e+00
3.938968434084868034e-03,2.064115236754167967e-03,-9.802747902314409956e+00
2.487812926394851291e-03,-8.343904879641023510e-04,-9.789084889958392210e+00
-3.263800638826133780e-03,-3.841614319978715105e-03,-9.791743846957515984e+00
1.230631406816227666e-03,7.143420831378481401e-04,-9.801196987671463745e+00
2.128856898902991256e-03,5.062132173946239794e-03,-9.787828831676863572e+00
